rat,operator,speed_bucket,file,mean,median,std,count
5G,TIM/Vodafone,inside,5G/location_12_is_interactivity_egaming_ch_tv_tti_1.csv,0.38087948055967746,0.3508553923435212,0.15861969185037134,29516
5G,TIM/Vodafone,inside,5G/location_12_is_interactivity_egaming_ch_tv_tti_2.csv,0.36329179818537155,0.34061248509212066,0.15148516634894274,25437
5G,TIM/Vodafone,inside,5G/location_12_is_interactivity_egaming_ch_tv_tti_3.csv,0.37283337391813326,0.34557810939884015,0.14881438467872787,17252
5G,TIM/Vodafone,inside,5G/location_13_is_interactivity_egaming_ch_tv_tti_0.csv,0.4260103799049492,0.42660512306592824,0.16595321002615918,30468
5G,TIM/Vodafone,inside,5G/location_13_is_interactivity_egaming_ch_tv_tti_1.csv,0.4205666303049143,0.4196937352665969,0.16627780361624242,27506
5G,TIM/Vodafone,inside,5G/location_15_is_interactivity_egaming_ch_tv_tti_0.csv,0.23935926793014284,0.22216250109665753,0.07861937406672403,11421
5G,TIM/Vodafone,inside,5G/location_15_is_interactivity_egaming_ch_tv_tti_1.csv,0.24865217907337997,0.23494643037354696,0.07690106320164214,5095
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_ch_tv_tti_88.csv,0.3433543786094701,0.2969773721159656,0.1592833580093715,62892
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_ch_tv_tti_99.csv,0.3415550598969323,0.29795867073823906,0.15686067136704326,108252
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_it_tv_tti_1.csv,0.3458973531811969,0.3006273151740828,0.15267237052963184,9520
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_it_tv_tti_2.csv,0.31955075371033326,0.27510933915179914,0.14038633625582364,97950
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_it_tv_tti_3.csv,0.32177041346909174,0.27839534815853406,0.13843452333509793,55044
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_it_tv_tti_lte_only_1.csv,0.33698309890312306,0.28791481704880856,0.14343209755138292,60838
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_it_tv_tti_lte_only_2.csv,0.3382361897752495,0.28749873852812113,0.15001408664570925,45371
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_se_tv_tti_lte_only_11.csv,0.37480509485636654,0.3326195970354567,0.15009711640380644,53801
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_se_tv_tti_lte_only_22.csv,0.3833669539516728,0.34484672781429243,0.14680960157889844,57841
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_se_tv_tti_lte_only_33.csv,0.3643600062394815,0.32324011600434827,0.14726023271543534,75837
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_se_tv_tti_lte_only_44.csv,0.3672077117797568,0.3269829822593156,0.14696399950533137,52241
5G,TIM/Vodafone,inside,5G/location_1_is_interactivity_egaming_se_tv_tti_lte_only_55.csv,0.37560460391163836,0.33595596597381855,0.14686641440879636,59265
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_ch_tv_tti_0.csv,0.45034578924446395,0.4122651089026478,0.17706722662849014,52991
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_ch_tv_tti_1.csv,0.4528420618305009,0.41468900183701557,0.17649942787053602,27592
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_ch_tv_tti_2.csv,0.45958505416101847,0.4221227473187551,0.1798315164279209,30425
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_ch_tv_tti_3.csv,0.46213863996565535,0.45533318051023797,0.17838922098710605,40648
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_ch_tv_tti_4.csv,0.4677399006537832,0.46357839913758997,0.1807172569657813,33293
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_ch_tv_tti_lte_only_0.csv,0.46809369420937236,0.4206044332189163,0.17925795433184158,30985
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_ch_tv_tti_lte_only_1.csv,0.4824343313036119,0.4320052161173996,0.17779114976326024,23480
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_ch_tv_tti_lte_only_2.csv,0.46988203547249097,0.4244013143238787,0.18065069292746236,27535
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_it_tv_tti_0.csv,0.4295882170105911,0.4050047802572084,0.17224993712323103,46537
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_it_tv_tti_1.csv,0.4256303041817828,0.39625706598814947,0.17308551497133925,43954
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_it_tv_tti_2.csv,0.4235162198239529,0.38754050390155964,0.1716495982400682,44204
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_it_tv_tti_lte_only_0.csv,0.46461140083754066,0.4301791434187595,0.16698832224551138,38666
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_se_tv_tti_0.csv,0.4519455849836649,0.4148405542969644,0.17993501839947415,30153
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_se_tv_tti_1.csv,0.4558505652361926,0.41817640343712276,0.18096439837445244,31007
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_se_tv_tti_2.csv,0.44953935716058147,0.4137798318219765,0.18044146352659743,29398
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_se_tv_tti_lte_only_0.csv,0.47249947698928585,0.429114251850377,0.1779231804219881,25300
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_se_tv_tti_lte_only_1.csv,0.46520657986655395,0.4268331670051906,0.17598538504726777,27761
5G,TIM/Vodafone,inside,5G/location_2_is_interactivity_egaming_se_tv_tti_lte_only_2.csv,0.46406829089049006,0.4180247051226,0.17738785935336274,28114
5G,TIM/Vodafone,inside,5G/location_3_is_interactivity_egaming_ch_tv_tti_1.csv,0.2899925911261591,0.2733349382734163,0.09606550860953658,18814
5G,TIM/Vodafone,inside,5G/location_3_is_interactivity_egaming_ch_tv_tti_2.csv,0.28722306387990915,0.2681707738468149,0.09813853603815015,26342
5G,TIM/Vodafone,inside,5G/location_3_is_interactivity_egaming_ch_tv_tti_3.csv,0.28475675484235446,0.2656014454242132,0.0967292115297288,25823
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_ch_tv_tti_0.csv,0.36952309626581037,0.3442619036857363,0.1340063207240636,28246
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_ch_tv_tti_1.csv,0.3711603317203458,0.34323906631098433,0.13371631164894107,29511
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_ch_tv_tti_2.csv,0.390844918547357,0.3740852712564625,0.13127352687461866,20788
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_ch_tv_tti_lte_only_0.csv,0.3779489727399091,0.36828424768783674,0.13713961172137018,27935
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_ch_tv_tti_lte_only_1.csv,0.38459941586285135,0.3727449030700198,0.13188764990902133,18821
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_ch_tv_tti_lte_only_2.csv,0.3830178898708982,0.3727449030700198,0.12957478633464245,22305
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_it_tv_tti_0.csv,0.3633615089227585,0.35644680827068087,0.1323998887005337,33621
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_it_tv_tti_1.csv,0.3656605198075983,0.35482608247937353,0.12211189859860298,36459
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_it_tv_tti_2.csv,0.3655400125151474,0.35526792634030924,0.11887726770856331,33670
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_it_tv_tti_lte_only_0.csv,0.3836363833873176,0.3688783471110155,0.1379412666453145,36765
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_it_tv_tti_lte_only_1.csv,0.3860039580832899,0.36976987759829527,0.1377338962503331,29842
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_it_tv_tti_lte_only_2.csv,0.38487840450890815,0.3670224693560556,0.13890637067844058,36582
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_se_tv_tti_0.csv,0.3716750770170108,0.35865966160611845,0.13268122352027123,30303
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_se_tv_tti_1.csv,0.37779214321121274,0.36553922137962647,0.13298438461045659,28586
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_se_tv_tti_2.csv,0.37111728450634957,0.35925028937771963,0.13447987887150475,35647
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_se_tv_tti_lte_only_0.csv,0.3739541935968244,0.36717086569709734,0.13512278116113882,29458
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_se_tv_tti_lte_only_1.csv,0.3772841904822843,0.37319158293500093,0.13447285435567022,24811
5G,TIM/Vodafone,inside,5G/location_8_is_interactivity_egaming_se_tv_tti_lte_only_2.csv,0.3700830300766131,0.36013664778488286,0.13395449605780693,25634
5G,TIM/Vodafone,od_fast,5G/location_10_od_interactivity_egaming_ch_tv_tti_0.csv,0.4157822209919435,0.3887407968789108,0.16279026225173754,21067
5G,TIM/Vodafone,od_fast,5G/location_10_od_interactivity_egaming_ch_tv_tti_lte_only_0.csv,0.43039875484171997,0.40833023813706193,0.1631252269830342,14151
5G,TIM/Vodafone,od_fast,5G/location_4_od_interactivity_egaming_ch_tv_tti_0.csv,0.38603044466540126,0.3580692574384595,0.15563203447964732,7815
5G,TIM/Vodafone,od_fast,5G/location_4_od_interactivity_egaming_ch_tv_tti_1.csv,0.391340966396815,0.3617629253158857,0.15478750944766756,7184
5G,TIM/Vodafone,od_fast,5G/location_4_od_interactivity_egaming_ch_tv_tti_2.csv,0.4075535177413232,0.3784854877351076,0.1573797329036468,6984
5G,TIM/Vodafone,od_fast,5G/location_4_od_interactivity_egaming_ch_tv_tti_3.csv,0.3390727521202194,0.31336716769415585,0.13475167701924015,18542
5G,TIM/Vodafone,od_fast,5G/location_4_od_interactivity_egaming_ch_tv_tti_lte_only_0.csv,0.4094814595598083,0.38446780986320306,0.1573440318601907,6704
5G,TIM/Vodafone,od_fast,5G/location_4_od_interactivity_egaming_ch_tv_tti_lte_only_1.csv,0.39600370877783164,0.36813575477974164,0.15699452548267165,8045
5G,TIM/Vodafone,od_fast,5G/location_4_od_interactivity_egaming_ch_tv_tti_lte_only_2.csv,0.4119683521813449,0.3881405679656675,0.1540419618638215,7120
5G,TIM/Vodafone,od_fast,5G/location_4_od_interactivity_egaming_it_tv_tti_0.csv,0.36486987918043706,0.3407582701686032,0.1294341954506699,15175
5G,TIM/Vodafone,od_fast,5G/location_4_od_interactivity_egaming_it_tv_tti_1.csv,0.3633333706856274,0.33930114682059853,0.1364449834514238,14541
5G,TIM/Vodafone,od_fast,5G/location_4_od_interactivity_egaming_it_tv_tti_2.csv,0.36671248766309833,0.34323906631098433,0.13314824672426262,15086
5G,TIM/Vodafone,od_fast,5G/location_4_od_interactivity_egaming_it_tv_tti_lte_only_0.csv,0.35889829736671774,0.33522991177681266,0.13339149657451568,15125
5G,TIM/Vodafone,od_fast,5G/location_4_od_interactivity_egaming_se_tv_tti_0.csv,0.36211165827279135,0.33930114682059853,0.12952405332175568,12458
5G,TIM/Vodafone,od_fast,5G/location_4_od_interactivity_egaming_se_tv_tti_1.csv,0.3635959327375205,0.34032096331506606,0.1295666836317556,12923
5G,TIM/Vodafone,od_fast,5G/location_4_od_interactivity_egaming_se_tv_tti_2.csv,0.37783133792761403,0.35659423279141417,0.13161482895658363,13110
5G,TIM/Vodafone,od_fast,5G/location_4_od_interactivity_egaming_se_tv_tti_lte_only_0.csv,0.3556036373555827,0.3318954852716718,0.13613479846909768,15705
5G,TIM/Vodafone,od_fast,5G/location_7_od_interactivity_egaming_ch_tv_tti_0.csv,0.5370711048646019,0.535786447871947,0.16772592266419384,22953
5G,TIM/Vodafone,od_fast,5G/location_7_od_interactivity_egaming_ch_tv_tti_1.csv,0.5334378777536313,0.5325471909821405,0.1720872711021984,16992
5G,TIM/Vodafone,od_fast,5G/location_7_od_interactivity_egaming_ch_tv_tti_2.csv,0.5475540040622514,0.5464520648897252,0.16993036329323635,16797
5G,TIM/Vodafone,od_fast,5G/location_7_od_interactivity_egaming_ch_tv_tti_lte_only_0.csv,0.5815512689214402,0.5895345716220011,0.16436730792925852,16057
5G,TIM/Vodafone,od_fast,5G/location_7_od_interactivity_egaming_it_tv_tti_0.csv,0.5089409825137758,0.5024729092044109,0.15756563964001746,19794
5G,TIM/Vodafone,od_fast,5G/location_7_od_interactivity_egaming_it_tv_tti_1.csv,0.5146054360915976,0.5077941437883554,0.15727588722297745,18612
5G,TIM/Vodafone,od_fast,5G/location_7_od_interactivity_egaming_it_tv_tti_2.csv,0.5155124079993011,0.507946082444173,0.15521397454738242,15689
5G,TIM/Vodafone,od_fast,5G/location_7_od_interactivity_egaming_it_tv_tti_lte_only_0.csv,0.5776196416041522,0.5832427396090234,0.1652420047410248,21697
5G,TIM/Vodafone,od_fast,5G/location_7_od_interactivity_egaming_se_tv_tti_2.csv,0.5448859677158284,0.5444280097113166,0.16617425516007583,23264
5G,TIM/Vodafone,od_fast,5G/location_7_od_interactivity_egaming_se_tv_tti_lte_only_0.csv,0.5909173532018398,0.5933247617117298,0.15547273771734904,17841
5G,TIM/Vodafone,od_fast,5G/location_9_od_interactivity_egaming_ch_tv_tti_0. sqc.csv,0.4182117805000328,0.3930972732977559,0.1668462999999972,33766
5G,TIM/Vodafone,od_fast,5G/location_9_od_interactivity_egaming_ch_tv_tti_1.csv,0.41790296418532097,0.39099310255160513,0.16908287134719763,27250
5G,TIM/Vodafone,od_fast,5G/location_9_od_interactivity_egaming_ch_tv_tti_2.csv,0.41539161200094454,0.38829060978722824,0.16639344710154277,27959
5G,TIM/Vodafone,od_fast,5G/location_9_od_interactivity_egaming_ch_tv_tti_lte_only_0.csv,0.42371235803049845,0.39354841538081314,0.16590520042543516,26620
5G,TIM/Vodafone,od_fast,5G/location_9_od_interactivity_egaming_it_tv_tti_0.csv,0.44919834153428373,0.4272892915965661,0.17036352405438487,28829
