row,col,z
18,30,9
20,17,11
19,17,9
18,17,7
18,18,7
18,19,7
18,20,7
18,21,7
18,22,7
18,23,7
18,24,7
18,25,7
18,26,7
18,27,7
18,28,7
18,29,7
20,26,10
20,27,10
20,28,10
20,29,10
20,19,10
20,20,10
20,21,10
20,22,10
20,23,10
20,24,10
20,25,10
11,10,11
11,11,10
12,10,10
11,10,12
11,12,10
13,10,10
11,10,13
11,13,10
14,10,10
11,10,14
11,14,10
15,10,10
11,15,10
16,10,10
11,16,10
17,10,10
11,17,10
18,10,10
11,18,10
11,19,10
11,20,10
11,21,10
11,22,10
11,23,10
11,24,10
11,25,10
11,26,10
11,27,10
11,28,10
11,29,10
19,11,12
19,12,11
12,30,12
13,30,11
10,12,12
13,9,12
13,12,9
10,12,13
10,13,12
13,9,13
14,9,12
13,13,9
14,12,9
10,12,14
10,14,12
13,9,14
15,9,12
13,14,9
15,12,9
10,15,12
16,9,12
13,15,9
16,12,9
10,16,12
17,9,12
13,16,9
17,12,9
10,17,12
18,9,12
13,17,9
18,12,9
10,18,12
13,18,9
10,19,12
13,19,9
10,20,12
13,20,9
10,21,12
13,21,9
10,22,12
13,22,9
10,23,12
13,23,9
10,24,12
13,24,9
10,25,12
13,25,9
10,26,12
13,26,9
10,27,12
13,27,9
10,28,12
13,28,9
10,29,12
13,29,9
20,13,13
11,30,13
14,30,10
11,30,14
15,30,10
19,10,13
19,13,10
19,10,14
19,14,10
9,28,14
9,29,14
15,28,8
15,29,8
20,12,14
20,14,12
9,14,14
9,15,14
9,16,14
9,17,14
9,18,14
9,19,14
9,20,14
9,21,14
9,22,14
9,23,14
9,24,14
9,25,14
9,26,14
9,27,14
15,8,14
16,8,14
17,8,14
18,8,14
15,14,8
15,15,8
16,14,8
15,16,8
17,14,8
15,17,8
18,14,8
15,18,8
15,19,8
15,20,8
15,21,8
15,22,8
15,23,8
15,24,8
15,25,8
15,26,8
15,27,8
16,30,9
17,30,9
20,15,11
20,16,11
19,15,9
19,16,9
17,27,7
17,28,7
17,29,7
17,16,7
17,17,7
18,16,7
17,18,7
17,19,7
17,20,7
17,21,7
17,22,7
17,23,7
17,24,7
17,25,7
17,26,7
18,30,8
20,17,10
20,18,10
19,17,8
19,18,8
19,19,8
19,20,8
19,21,8
19,22,8
19,23,8
19,24,8
19,25,8
19,26,8
19,27,8
19,28,8
19,29,8
19,30,10
20,27,9
20,28,9
20,29,9
20,24,9
20,25,9
20,26,9
20,19,9
20,20,9
20,21,9
20,22,9
20,23,9
10,10,10
10,11,11
10,11,12
10,12,11
10,11,13
10,13,11
10,11,14
10,14,11
10,15,11
10,16,11
10,17,11
10,18,11
10,19,11
10,20,11
10,21,11
10,22,11
10,23,11
10,24,11
10,25,11
10,26,11
10,27,11
10,28,11
10,29,11
11,9,10
12,9,11
12,9,12
13,9,11
12,9,13
14,9,11
12,9,14
15,9,11
16,9,11
17,9,11
18,9,11
11,10,9
12,11,9
12,12,9
13,11,9
12,13,9
14,11,9
12,14,9
15,11,9
12,15,9
16,11,9
12,16,9
17,11,9
12,17,9
18,11,9
12,18,9
12,19,9
12,20,9
12,21,9
12,22,9
12,23,9
12,24,9
12,25,9
12,26,9
12,27,9
12,28,9
12,29,9
10,10,11
10,11,10
11,9,11
12,9,10
11,11,9
12,10,9
10,10,12
10,12,10
11,9,12
13,9,10
11,12,9
13,10,9
10,10,13
10,13,10
11,9,13
14,9,10
11,13,9
14,10,9
10,10,14
10,14,10
11,9,14
15,9,10
11,14,9
15,10,9
10,15,10
16,9,10
11,15,9
16,10,9
10,16,10
17,9,10
11,16,9
17,10,9
10,17,10
18,9,10
11,17,9
18,10,9
10,18,10
11,18,9
10,19,10
11,19,9
10,20,10
11,20,9
10,21,10
11,21,9
10,22,10
11,22,9
10,23,10
11,23,9
10,24,10
11,24,9
10,25,10
11,25,9
10,26,10
11,26,9
10,27,10
11,27,9
10,28,10
11,28,9
10,29,10
11,29,9
12,30,11
19,11,11
11,30,12
19,10,12
19,12,10
13,30,10
9,28,12
9,29,13
9,29,12
13,28,8
14,29,8
